59
375.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
575.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
775.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
975.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
1175.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
1375.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
1575.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
1775.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
1975.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
2175.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
2375.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
2575.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
2775.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
2975.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
3175.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
3375.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
3575.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
3775.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
3975.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
4175.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
4375.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
4575.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
4775.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
4975.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
5175.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
5375.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
5575.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
5775.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
5975.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
6175.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
6375.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
6575.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
6775.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
6975.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
7175.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
7375.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
7575.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
7775.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
7975.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
8175.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
8375.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
8575.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
8775.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
8975.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
9175.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
9375.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
9575.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
9775.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
9975.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
10175.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
10375.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
10575.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
10775.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
10975.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
11175.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
11375.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
11575.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
11775.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
11975.00	0.00	50.00	0.00	8.00	1.00	0.00	1.0	
